"legislator","d1","d2","cluster","coord1D","coord2D"
"González_Olea_Marta",-0.657423531806009,0.545700397671494,"izquierda",-0.812706232070923,-0.366762816905975
"González_Villarroel_Mauro",0.522475004603346,0.711620876479024,"derecha",0.438332438468933,-0.0411055758595467
"Guzmán_Zepeda_Jorge",0.451660985812727,0.768275261529288,"derecha",0.373700767755508,0.868008673191071
"Hertz_Cádiz_Carmen",-0.642483175149345,0.593609936479226,"izquierda",-0.912061214447021,0.158587008714676
"Hirsch_Goldschmidt_Tomás",-0.694844878471792,0.528296618754312,"izquierda",-0.916883647441864,0.166266605257988
"Ibáñez_Cotroneo_Diego",-0.669093184244636,0.527237130043749,"izquierda",-0.878301560878754,-0.0264427214860916
"Ilabaca_Cerda_Marcos",-0.477293727576544,0.585233469892533,"izquierda",-0.591987133026123,0.241366863250732
"Irarrázaval_Rossel_Juan",1.01710419758219,0.873390668574754,"derecha",0.825126349925995,-0.564948320388794
"Jiles_Moreno_Pamela",-0.507000784946024,1.15820830606277,"izquierda",-0.594378888607025,-0.804185152053833
"Jouannet_Valderrama_Andrés",-0.133152529042652,1.01962730056054,"izquierda",-0.222751453518867,0.568413555622101
"Jürgensen_Rundshagen_Harry",1.01091921612384,0.866528816980924,"derecha",0.83205646276474,-0.554690897464752
"Kaiser_Barents-Von Hohenhagen_Johannes",1.24805534439408,1.19079970578552,"derecha",0.938016533851624,-0.114692106842995
"Labbé_Martínez_Cristian",1.17703871450735,1.03979777875387,"derecha",0.889602541923523,-0.118143975734711
"Labra_Besserer_Paula",0.809759088491436,0.795215112791376,"derecha",0.580046355724335,-0.286634862422943
"Lagomarsino_Guzmán_Tomás",-0.522718815152348,0.843101571107326,"izquierda",-0.724534451961517,-0.322973430156708
"Lavín_León_Joaquín",0.630885631334328,0.788463732975197,"derecha",0.470799893140793,0.629544317722321
"Leal_Bizama_Henry",0.544369982685038,0.765038556383139,"derecha",0.462877124547958,0.646171987056732
"Lee_Flores_Enrique",0.304690420764448,0.873574534806332,"derecha",0.396802544593811,-0.0437635183334351
"Leiva_Carvajal_Raúl",-0.445402161772717,0.628003496500926,"izquierda",-0.571900963783264,0.479479610919952
"Lilayu_Vivanco_Daniel",0.43414157015446,0.738169155860014,"derecha",0.334546148777008,0.301540642976761
"Longton_Herrera_Andrés",0.504013024495103,0.851682836351628,"derecha",0.362112283706665,0.23159359395504
"Malla_Valenzuela_Luis",-0.589188485678031,0.72055713829264,"izquierda",-0.730663895606995,-0.196016222238541
"Manouchehri_Lobos_Daniel",-0.624432988314544,0.656732920424412,"izquierda",-0.77172976732254,-0.401239693164825
"Martínez_Ramírez_Cristóbal",0.667833965701878,0.781505384047975,"derecha",0.543612718582153,0.135570853948593
"Marzán_Pinto_Carolina",-0.6303444198715,0.609576979982897,"izquierda",-0.815922975540161,-0.247969880700111
"Matheson_Villán_Christian",0.710509355288819,1.02331342175581,"derecha",0.532393217086792,-0.0992299094796181
"Medina_Vásquez_Karen",-0.269029272974961,0.787746806442783,"izquierda",-0.415895789861679,0.241844028234482
"Mellado_Pino_Cosme",-0.45971674704964,0.562113221959625,"izquierda",-0.581328570842743,0.297986894845963
"Mellado_Suazo_Miguel",0.541937199774247,0.777192586968357,"derecha",0.421567499637604,0.288422703742981
"Melo_Contreras_Daniel",-0.632870090266374,0.594603889782476,"izquierda",-0.802141785621643,-0.26680052280426
"Meza_Pereira_José Carlos",0.960830375872993,0.833843901116378,"derecha",0.815845668315887,-0.578269720077515
"Mirosevic_Verdugo_Vlado",-0.540815849365318,0.708236313277047,"izquierda",-0.659816265106201,0.151980131864548
"Mix_Jiménez_Claudia",-0.776882816839083,0.688655416162971,"izquierda",-0.978027999401093,-0.060429897159338
"Molina_Milman_Helia",-0.563629813059369,0.59199083601878,"izquierda",-0.647411644458771,0.197813436388969
"Morales_Alvarado_Javiera",-0.641436869943768,0.570800186794823,"izquierda",-0.801064550876617,0.364452719688416
"Morales_Maldonado_Carla",0.334396395897032,0.718869426928951,"derecha",0.277622431516647,0.191185846924782
"Moreira_Barros_Cristhian",0.492533769713993,0.744495120099765,"derecha",0.477617919445038,0.752469718456268
"Moreno_Bascur_Benjamín",1.0435677510916,0.822867964908262,"derecha",0.853338122367859,-0.521358013153076
"Mulet_Martínez_Jaime",-0.642299555517702,0.533773349814663,"izquierda",-0.803481757640839,-0.208298102021217
"Muñoz_González_Francesca",0.714698500227444,0.882451643613747,"derecha",0.584946691989899,-0.414020210504532
"Musante_Müller_Camila",-0.602149189953981,0.655180143520703,"izquierda",-0.729867875576019,-0.316766649484634
"Naranjo_Ortiz_Jaime",-0.485978402591932,0.571746008053058,"izquierda",-0.600205838680267,0.435521692037582
"Naveillan_Arriagada_Gloria",1.25918615348146,1.04281178339381,"derecha",0.924761593341827,-0.147583067417145
"Nuyado_Ancapichún_Emilia",-0.69707263503754,0.593728344837416,"izquierda",-0.82647305727005,-0.191409662365913
"Ñanco_Vásquez_Coca Ericka",-0.693113824411775,0.681867221419545,"izquierda",-0.911767899990082,0.307916432619095
"Olivera_De La Fuente_Erika",-0.106819700368821,0.802841775990606,"izquierda",-0.206820264458656,0.0609240904450417
"Orsini_Pascal_Maite",-0.681870848888619,0.542071257282786,"izquierda",-0.899113237857819,0.0716859996318817
"Ossandón_Irarrázabal_Ximena",0.401179467095839,0.787787871481338,"derecha",0.321256726980209,0.218727812170982
"Oyarzo_Figueroa_Rubén Darío",-0.421715712679276,0.685079107418273,"izquierda",-0.541205406188965,0.15221706032753
"Palma_Pérez_Hernán",-0.676141921605982,0.517057690387012,"izquierda",-0.920468151569366,-0.143089666962624
"Pérez_Cartes_Marlene",0.59786453583906,0.80100905660245,"derecha",0.430329620838165,0.132836505770683
"Pérez_Olea_Joanna",-0.0245211616901455,0.79555399702267,"izquierda",-0.111482486128807,-0.00122091313824058
"Pérez_Salinas_Catalina",-0.509048388411459,0.326596972071769,"izquierda",-0.73628830909729,0.201723024249077
"Pino_Fuentes_Víctor Alejandro",0.0560278995715487,0.796927563919145,"izquierda",-0.0415153801441193,-0.146541178226471
"Pizarro_Sierra_Lorena",-0.716948691138934,0.5375614864132,"izquierda",-0.967333853244781,0.253505915403366
"Placencia_Cabello_Alejandra",-0.664103420980246,0.497331848200566,"izquierda",-0.938371360301971,0.228931471705437
"Ramírez_Diez_Guillermo",0.619486435420483,0.7908609550488,"derecha",0.56258362531662,0.62889963388443
"Ramírez_Pascal_Matías",-0.722202311711655,0.586582531900887,"izquierda",-0.97684907913208,0.213929414749146
"Raphael_Mora_Marcia",0.478098326884783,0.769491279406215,"derecha",0.389226317405701,0.233962073922157
"Rathgeb_Schifferli_Jorge",0.51306729959715,0.801966135640014,"derecha",0.347599178552628,-0.101816594600678
"Rey_Martínez_Hugo",0.342663183198552,0.737367161307202,"derecha",0.310552507638931,0.217282146215439
"Riquelme_Aliaga_Marcela",-0.691386319969367,0.916246843146435,"izquierda",-0.716960191726685,-0.532648921012878
"Rivas_Sánchez_Gaspar",-0.136258616654526,1.09662699093172,"izquierda",-0.458057135343552,-0.888922810554504
"Rojas_Valderrama_Camila",-0.70255010753062,0.511941659782754,"izquierda",-0.920248210430145,0.0986255928874016
"Romero_Leiva_Agustín",1.02467397872536,0.835636642802559,"derecha",0.844670236110687,-0.535287082195282
"Romero_Sáez_Leonidas",1.19682167049868,1.07995187905741,"derecha",0.921307742595673,-0.169672474265099
"Romero_Talguia_Natalia",0.39774491209593,0.767074293460765,"derecha",0.341288834810257,0.429296344518661
"Rosas_Barrientos_Patricio",-0.723721866165464,0.818209835430537,"izquierda",-0.809281885623932,-0.19698591530323
"Sáez_Quiroz_Jaime",-0.656572323915919,0.566920736607704,"izquierda",-0.798621535301208,0.372662276029587
"Saffirio_Espinoza_Jorge",-0.0499846829353679,0.764984732120727,"izquierda",-0.142206266522408,0.0684726759791374
"Sagardía_Cabezas_Clara",-0.667282767107446,0.517084400830867,"izquierda",-0.882077395915985,0.439543575048447
"Sánchez_Ossa_Luis",1.03894890837862,0.839788327956655,"derecha",0.852918803691864,-0.522043526172638
"Santana_Castillo_Juan",-0.657530767171551,0.565771864133987,"izquierda",-0.791684448719025,-0.266268134117127
"Santibáñez_Novoa_Marisela",-0.682088686555324,0.576535661116217,"izquierda",-0.867946863174438,-0.280031859874725
"Sauerbaum_Muñoz_Frank",0.482042571123628,0.737309825365224,"derecha",0.360199898481369,0.203495115041733
"Schalper_Sepúlveda_Diego",0.512700346841818,0.743449432307195,"derecha",0.436069816350937,0.489989042282104
"Schneider_Videla_Emilia",-0.707831271709272,0.585208138472531,"izquierda",-0.92687201499939,0.129525125026703
"Schubert_Rubio_Stephan",1.05782130653055,0.827652927638889,"derecha",0.853342413902283,-0.521350800991058
"Sepúlveda_Soto_Alexis",-0.502604991975465,0.579626286929769,"izquierda",-0.656610250473022,-0.0232317764312029
"Serrano_Salazar_Daniela",-0.694346671365044,0.528975909267618,"izquierda",-0.948428750038147,0.231728076934815
"Soto_Ferrada_Leonardo",-0.49460656633633,0.6818098162904,"izquierda",-0.705588638782501,0.0852663516998291
"Soto_Mardones_Raúl",-0.45298941233574,0.602269847509348,"izquierda",-0.578744649887085,0.155386626720428
"Sulantay_Olivares_Marco Antonio",0.616352404664765,0.733587482446839,"derecha",0.518499374389648,0.364457070827484
"Tapia_Ramos_Cristián",-0.579032138429679,0.566373762494934,"izquierda",-0.67819607257843,-0.0365464463829994
"Teao_Drago_Hotuiti",0.433221532977389,0.817560895148543,"derecha",0.322309523820877,0.142906337976456
"Tello_Rojas_Carolina",-0.684788409140577,0.519932387570574,"izquierda",-0.920409440994263,-0.0154063878580928
"Trisotti_Martínez_Renzo",0.981804470203574,0.814891144295998,"derecha",0.84202778339386,-0.539434254169464
"Ulloa_Aguilera_Héctor",-0.460536403839271,0.608354375802265,"izquierda",-0.544242560863495,0.291700661182404
"Undurraga_Gazitúa_Francisco",0.474564761334035,0.788829528155743,"derecha",0.382693707942963,0.880771100521088
"Undurraga_Vicuña_Alberto",-0.394262449243237,0.85904139662323,"izquierda",-0.492912143468857,0.365067332983017
"Urruticoechea_Ríos_Cristóbal",1.19020496206215,1.1571823289649,"derecha",0.91895717382431,-0.133230119943619
"Veloso_Ávila_Consuelo",-0.740747973913378,0.655650597837322,"izquierda",-0.933885395526886,-0.137109562754631
"Venegas_Salazar_Nelson",-0.493061580135704,0.76818897671618,"izquierda",-0.583846986293793,0.365506619215012
"Videla_Castillo_Sebastián",-0.551023496390635,0.757643868822136,"izquierda",-0.707876980304718,-0.692148745059967
"Von Mühlenbrock_Zamora_Gastón",0.642308418628004,0.750337073421375,"derecha",0.51123982667923,0.665965855121613
"Weisse_Novoa_Flor",0.731168092160274,0.792968069859769,"derecha",0.558175027370453,0.260964959859848
"Winter_Etcheberry_Gonzalo",-0.633154192799438,0.593932570331404,"izquierda",-0.781853318214417,0.198645383119583
"Yeomans_Araya_Gael",-0.691392355633171,0.508201074708388,"izquierda",-0.874238848686218,0.0302037037909031
"Celedón_Fernández_Roberto",-0.69275717259169,0.615695128440477,"izquierda",-0.885588645935059,0.296278387308121
"De Rementería_Venegas_Tomás",-0.449668428796368,0.475001631874917,"izquierda",-0.709367156028748,0.167308077216148
